gemnr;gemeente;aantal;bevaant;aantal per 100.000 inwoners
1948;meierijstad;139;80815;172
119;meppel;3;33564;8.9
687;middelburg;6;48544;12.4
1842;midden-delfland;2;19391;10.3
1731;midden-drenthe;1;33178;3
1952;midden-groningen;2;60899;3.3
815;mill en sint hubert;5;10891;45.9
1709;moerdijk;4;36961;10.8
1978;molenlanden;13;43858;29.6
1955;montferland;3;36026;8.3
335;montfoort;3;13996;21.4
944;mook en middelaar;5;7806;64.1
1740;neder-betuwe;11;24034;45.8
946;nederweert;11;17001;64.7
356;nieuwegein;11;63036;17.5
569;nieuwkoop;4;28628;14
267;nijkerk;8;42943;18.6
268;nijmegen;93;176731;52.6
1930;nissewaard;17;84797;20
1970;noardeast-fryslân;3;45181;6.6
1695;noord-beveland;1;7308;13.7
1699;noordenveld;1;31290;3.2
171;noordoostpolder;4;46849;8.5
575;noordwijk;6;42859;14
820;nuenen, gerwen en nederwetten;4;23186;17.3
302;nunspeet;22;27481;80.1
579;oegstgeest;8;24426;32.8
823;oirschot;4;18623;21.5
824;oisterwijk;16;26140;61.2
1895;oldambt;0;38129;0
269;oldebroek;8;23598;33.9
173;oldenzaal;8;31840;25.1
1773;olst-wijhe;4;18071;22.1
175;ommen;6;17813;33.7
1586;oost gelre;6;29704;20.2
826;oosterhout;23;55616;41.4
85;ooststellingwerf;0;25497;0
431;oostzaan;5;9757;51.2
432;opmeer;0;11779;0
86;opsterland;3;29723;10.1
828;oss;73;91451;79.8
1509;oude ijsselstreek;4;39473;10.1
437;ouder-amstel;7;13916;50.3
589;oudewater;7;10201;68.6
1734;overbetuwe;33;47543;69.4
590;papendrecht;5;32290;15.5
1894;peel en maas;79;43311;182.4
765;pekela;2;12214;16.4
1926;pijnacker-nootdorp;14;54331;25.8
439;purmerend;23;80117;28.7
273;putten;3;24198;12.4
177;raalte;6;37511;16
703;reimerswaal;6;22678;26.5
274;renkum;11;31302;35.1
339;renswoude;0;5259;0
1667;reusel-de mierden;1;13060;7.7
275;rheden;15;43640;34.4
340;rhenen;1;20004;5
597;ridderkerk;7;46241;15.1
1742;rijssen-holten;4;38300;10.4
603;rijswijk;8;53467;15
1669;roerdalen;10;20615;48.5
957;roermond;26;58209;44.7
1674;roosendaal;18;77032;23.4
599;rotterdam;163;644618;25.3
277;rozendaal;2;1654;120.9
840;rucphen;6;22572;26.6
441;schagen;10;46553;21.5
279;scherpenzeel;2;9873;20.3
606;schiedam;10;77999;12.8
88;schiermonnikoog;0;936;0
1676;schouwen-duiveland;3;33779;8.9
965;simpelveld;7;10516;66.6
1702;sint anthonis;13;11606;112
845;sint-michielsgestel;17;28991;58.6
1883;sittard-geleen;84;92661;90.7
610;sliedrecht;4;25026;16
1714;sluis;5;23386;21.4
90;smallingerland;3;55938;5.4
342;soest;20;46194;43.3
847;someren;7;19322;36.2
848;son en breugel;13;16904;76.9
37;stadskanaal;0;31789;0
180;staphorst;4;17003;23.5
532;stede broec;9;21706;41.5
851;steenbergen;9;25054;35.9
1708;steenwijkerland;5;43940;11.4
971;stein;24;24961;96.1
1904;stichtse vecht;16;64336;24.9
1900;súdwest-fryslân;6;89710;6.7
715;terneuzen;6;54589;11
93;terschelling;0;4890;0
448;texel;3;13547;22.1
1525;teylingen;7;37061;18.9
716;tholen;11;25780;42.7
281;tiel;8;41978;19.1
855;tilburg;211;217259;97.1
183;tubbergen;4;21276;18.8
1700;twenterand;3;33792;8.9
1730;tynaarlo;10;33698;29.7
737;tytsjerksteradiel;1;31780;3.1
856;uden;92;41782;220.2
450;uitgeest;4;13528;29.6
451;uithoorn;4;29424;13.6
184;urk;7;20776;33.7
344;utrecht;160;352866;45.3
1581;utrechtse heuvelrug;14;49515;28.3
981;vaals;3;10092;29.7
994;valkenburg aan de geul;8;16470;48.6
858;valkenswaard;8;30910;25.9
47;veendam;0;27491;0
345;veenendaal;6;65589;9.1
717;veere;6;21835;27.5
861;veldhoven;14;45337;30.9
453;velsen;15;68348;21.9
983;venlo;40;101603;39.4
984;venray;13;43326;30
1961;vijfheerenlanden;18;55712;32.3
622;vlaardingen;18;72404;24.9
96;vlieland;0;1138;0
718;vlissingen;8;44371;18
986;voerendaal;5;12452;40.2
626;voorschoten;3;25479;11.8
285;voorst;3;24417;12.3
865;vught;19;26396;72
1949;waadhoeke;0;46039;0
866;waalre;3;17247;17.4
867;waalwijk;29;48240;60.1
627;waddinxveen;4;28316;14.1
289;wageningen;3;38774;7.7
629;wassenaar;5;26211;19.1
852;waterland;10;17315;57.8
988;weert;17;49842;34.1
457;weesp;2;19334;10.3
1960;west betuwe;17;50697;33.5
668;west maas en waal;8;19076;41.9
1969;westerkwartier;8;63031;12.7
1701;westerveld;2;19348;10.3
293;westervoort;2;14944;13.4
1950;westerwolde;0;25199;0
1783;westland;25;108603;23
98;weststellingwerf;1;25840;3.9
614;westvoorne;8;14626;54.7
189;wierden;0;24351;0
296;wijchen;23;40951;56.2
1696;wijdemeren;1;24013;4.2
352;wijk bij duurstede;6;23762;25.3
294;winterswijk;2;28903;6.9
873;woensdrecht;4;21866;18.3
632;woerden;19;52197;36.4
880;wormerland;2;16329;12.2
351;woudenberg;4;13166;30.4
479;zaanstad;20;155885;12.8
297;zaltbommel;7;28451;24.6
473;zandvoort;6;17011;35.3
50;zeewolde;4;22309;17.9
355;zeist;20;63934;31.3
299;zevenaar;10;43488;23
637;zoetermeer;8;124944;6.4
638;zoeterwoude;1;8450;11.8
1892;zuidplas;3;42762;7
879;zundert;11;21612;50.9
301;zutphen;6;47609;12.6
1896;zwartewaterland;22;22503;97.8
642;zwijndrecht;8;44639;17.9
193;zwolle;40;127497;31.4
